m^2,lambda,nsteps,mag,abs mag
-3,0.5,100000,-3.96249,3.96249,
-2.7,0.5,100000,4.89114,4.89114,
-2.4,0.5,100000,-0.676506,0.684667,
-2.1,0.5,100000,-4.46917,4.46917,
-1.8,0.5,100000,4.11192,4.11192,
-1.5,0.5,100000,3.71915,3.71915,
-1.2,0.5,100000,3.21967,3.21967,
-0.9,0.5,100000,2.74062,2.74062,
-0.6,0.5,100000,2.09717,2.09717,
-0.3,0.5,100000,-0.192162,0.529621,
0,0.5,100000,0.0401641,0.37656,
0.3,0.5,100000,0.0654143,0.197611,
0.6,0.5,100000,-0.0387741,0.171838,
0.9,0.5,100000,-0.0223432,0.13993,
1.2,0.5,100000,-0.00552749,0.123458,
1.5,0.5,100000,-0.0154956,0.1195,
1.8,0.5,100000,0.000784319,0.117479,
2.1,0.5,100000,-0.01771,0.0974904,
2.4,0.5,100000,0.0137881,0.0963616,
2.7,0.5,100000,0.000782763,0.0834488,
3,0.5,100000,0.00955375,0.0836759,
