m^2,lambda,nsteps,mag,abs mag
1,0,1000,0.409278,0.409278,
1,0,5000,0.042378,0.289949,
1,0,20000,-0.0281865,0.288461,
1,0,50000,-0.152642,0.311676,
1,0,100000,-0.0176537,0.360119,
1,0,150000,-0.0638596,0.346082,
1,0,200000,-0.0641456,0.36336,
1,0,250000,0.0040355,0.367678,
