m^2,lambda,nsteps,mag,abs mag
-0.048266,
-0.0496459,
-0.0510389,
-0.0521461,
-0.0629064,
-0.0647285,
-0.0777061,
-0.0685583,
-0.0703301,
-0.0767283,
-0.0719931,
-0.0738335,
-0.0720589,
-0.0635905,
-0.0618627,
-0.0696812,
-0.0597574,
-0.0622693,
-0.0622693,
-0.0606192,
-0.0606192,
-0.0559844,
-0.0528673,
-0.05535,
-0.0477971,
-0.0492187,
-0.0528705,
-0.0452293,
-0.0403824,
-0.0298891,
-0.0198554,
-0.0198554,
-0.014453,
-0.0229343,
-0.0229343,
-0.0221547,
-0.0239728,
-0.0232723,
-0.0220969,
-0.026206,
-0.0267159,
-0.018826,
-0.0182532,
-0.0124982,
-0.0172394,
-0.00703264,
-0.00803658,
-0.0116736,
-0.00919556,
-0.0160699,
-0.0223808,
-0.0238019,
-0.0223179,
-0.0276368,
-0.0350201,
-0.0370847,
-0.0370847,
-0.036728,
-0.0353948,
-0.0277435,
-0.0292719,
-0.0257965,
-0.0274718,
-0.0308909,
-0.0368852,
-0.0336083,
-0.0301104,
-0.0251452,
-0.0308899,
-0.0316624,
-0.0178777,
-0.0246376,
-0.0288453,
-0.0316605,
-0.0307325,
-0.0288527,
-0.0314736,
-0.0260572,
-0.0225609,
-0.0228075,
-0.024354,
-0.0284061,
-0.0263337,
-0.0247502,
-0.0247502,
-0.0414329,
-0.0399166,
-0.0443679,
-0.0443679,
-0.0429416,
-0.0425269,
-0.0437205,
-0.0436621,
-0.0449462,
-0.04677,
-0.0473327,
-0.0478949,
-0.0560941,
-0.0608091,
-0.0501765,
-0.0586619,
-0.050527,
-0.0587169,
-0.0644734,
-0.0571764,
-0.0593329,
-0.0632862,
-0.0680772,
-0.0698431,
-0.0642269,
-0.0712639,
-0.0741205,
-0.0705747,
-0.072888,
-0.0728649,
-0.0679403,
-0.0734139,
-0.0651089,
-0.0590462,
-0.0683258,
-0.0649908,
-0.0584115,
-0.0640686,
-0.0616847,
-0.0616847,
-0.0518649,
-0.0518649,
-0.0518649,
-0.0563285,
-0.0534857,
-0.0612476,
-0.0612476,
-0.0662498,
-0.0602105,
-0.0539864,
-0.0610804,
-0.0633296,
-0.0661073,
-0.0655939,
-0.0687842,
-0.0708287,
-0.0700925,
-0.0796055,
-0.0796055,
-0.0844113,
-0.0829387,
-0.0876095,
-0.0865484,
-0.0876413,
-0.0915995,
-0.0925939,
-0.0923626,
-0.0977232,
-0.0950828,
