m^2,lambda,nsteps,mag,abs mag
-3,0.5,100000,-5.39453,5.39453,
-2.7,0.5,100000,-5.11705,5.11705,
-2.4,0.5,100000,4.82164,4.82164,
-2.1,0.5,100000,4.5085,4.5085,
-1.8,0.5,100000,-4.17222,4.17222,
-1.5,0.5,100000,3.80708,3.80708,
-1.2,0.5,100000,-3.39738,3.39738,
-0.9,0.5,100000,2.93163,2.93163,
-0.6,0.5,100000,2.3851,2.3851,
-0.3,0.5,100000,1.61689,1.61689,
0,0.5,100000,0.0318852,0.288589,
0.3,0.5,100000,0.0119645,0.12399,
0.6,0.5,100000,0.00371855,0.0870924,
0.9,0.5,100000,-0.00846445,0.0720883,
1.2,0.5,100000,-0.0133992,0.063485,
1.5,0.5,100000,0.00275637,0.0570669,
1.8,0.5,100000,0.000620316,0.0531559,
2.1,0.5,100000,-0.00381111,0.0503472,
2.4,0.5,100000,0.00289292,0.047066,
2.7,0.5,100000,-0.000654144,0.043045,
3,0.5,100000,-0.000660098,0.0414053,
