m^2,lambda,nsteps,mag,abs mag
-3,0.5,200000,2.47382,2.47382,
-2.7,0.5,200000,1.07518,1.07518,
-2.4,0.5,200000,-4.78563,4.78563,
-2.1,0.5,200000,-1.48,1.48,
-1.8,0.5,200000,4.11336,4.11336,
-1.5,0.5,200000,-3.73551,3.73551,
-1.2,0.5,200000,3.30791,3.30791,
-0.9,0.5,200000,-2.58967,2.5916,
-0.6,0.5,200000,-2.04267,2.04267,
-0.3,0.5,200000,0.848364,0.88889,
0,0.5,200000,-0.00782784,0.308198,
0.3,0.5,200000,-0.0499822,0.188478,
0.6,0.5,200000,-0.00273553,0.163547,
0.9,0.5,200000,0.00770498,0.13065,
1.2,0.5,200000,0.00376101,0.126622,
1.5,0.5,200000,-0.00344818,0.113001,
1.8,0.5,200000,-0.0169312,0.108033,
2.1,0.5,200000,0.000254855,0.0978567,
2.4,0.5,200000,-0.00696179,0.0891193,
2.7,0.5,200000,0.0101245,0.0881303,
3,0.5,200000,0.00676837,0.0809005,
