m^2,lambda,nsteps,mag,abs mag
-3,0.5,10000,4.35439,4.35439,
-2.7,0.5,10000,-4.55229,4.55229,
-2.4,0.5,10000,-4.22127,4.22127,
-2.1,0.5,10000,-3.99096,3.99096,
-1.8,0.5,10000,-3.07542,3.07542,
-1.5,0.5,10000,-2.99235,2.99235,
-1.2,0.5,10000,2.00019,2.00019,
-0.9,0.5,10000,-2.12831,2.12831,
-0.6,0.5,10000,-1.34717,1.34717,
-0.3,0.5,10000,-0.393296,0.393296,
0,0.5,10000,0.118512,0.118512,
0.3,0.5,10000,0.0130417,0.0290951,
0.6,0.5,10000,0.0123208,0.0574522,
0.9,0.5,10000,0.0366636,0.0398212,
1.2,0.5,10000,-0.00462819,0.0319979,
1.5,0.5,10000,0.00632872,0.0246901,
1.8,0.5,10000,0.0118432,0.0266908,
2.1,0.5,10000,0.00525548,0.0195114,
2.4,0.5,10000,0.0346537,0.0381313,
2.7,0.5,10000,-0.0184046,0.0265606,
3,0.5,10000,0.00861631,0.0201291,
