m^2,lambda,mag,abs mag
0.3,0.9,0.0151083,0.0151083,
0.3,1,0.0150846,0.0150846,
0.4,0,0.0151098,0.0151098,
0.4,0.1,0.0151096,0.0151096,
0.4,0.2,0.0151094,0.0151094,
0.4,0.3,0.0151092,0.0151092,
0.4,0.4,0.015109,0.015109,
0.4,0.5,0.0151088,0.0151088,
0.4,0.6,0.0151086,0.0151086,
0.4,0.7,0.0151084,0.0151084,
0.4,0.8,0.0150847,0.0150847,
0.4,0.9,0.0150845,0.0150845,
0.4,1,0.0150843,0.0150843,
0.5,0,0.0151095,0.0151095,
0.5,0.1,0.0151093,0.0151093,
0.5,0.2,0.0151091,0.0151091,
0.5,0.3,0.0151089,0.0151089,
0.5,0.4,0.0151087,0.0151087,
0.5,0.5,0.015085,0.015085,
0.5,0.6,0.0150848,0.0150848,
0.5,0.7,0.0150846,0.0150846,
0.5,0.8,0.0150844,0.0150844,
0.5,0.9,0.0150842,0.0150842,
0.5,1,0.0150839,0.0150839,
0.6,0,0.0151091,0.0151091,
0.6,0.1,0.0151089,0.0151089,
0.6,0.2,0.0151087,0.0151087,
0.6,0.3,0.015085,0.015085,
0.6,0.4,0.0150848,0.0150848,
0.6,0.5,0.0150846,0.0150846,
0.6,0.6,0.0150844,0.0150844,
0.6,0.7,0.0150842,0.0150842,
0.6,0.8,0.015084,0.015084,
0.6,0.9,0.0150838,0.0150838,
0.6,1,0.0150836,0.0150836,
0.7,0,0.0151088,0.0151088,
0.7,0.1,0.0150851,0.0150851,
0.7,0.2,0.0150849,0.0150849,
0.7,0.3,0.0150847,0.0150847,
0.7,0.4,0.0150845,0.0150845,
0.7,0.5,0.0150843,0.0150843,
0.7,0.6,0.0150841,0.0150841,
0.7,0.7,0.0150839,0.0150839,
0.7,0.8,0.0150837,0.0150837,
0.7,0.9,0.0150835,0.0150835,
0.7,1,0.0150832,0.0150832,
0.8,0,0.015085,0.015085,
0.8,0.1,0.0150847,0.0150847,
0.8,0.2,0.0150845,0.0150845,
0.8,0.3,0.0150843,0.0150843,
0.8,0.4,0.0150841,0.0150841,
0.8,0.5,0.0150839,0.0150839,
0.8,0.6,0.0150837,0.0150837,
0.8,0.7,0.0150835,0.0150835,
0.8,0.8,0.0150833,0.0150833,
0.8,0.9,0.0150831,0.0150831,
0.8,1,0.0150829,0.0150829,
0.9,0,0.0150846,0.0150846,
0.9,0.1,0.0150844,0.0150844,
0.9,0.2,0.0150842,0.0150842,
0.9,0.3,0.015084,0.015084,
0.9,0.4,0.0150838,0.0150838,
0.9,0.5,0.0150836,0.0150836,
0.9,0.6,0.0150834,0.0150834,
0.9,0.7,0.0150832,0.0150832,
0.9,0.8,0.015083,0.015083,
0.9,0.9,0.0150827,0.0150827,
0.9,1,0.0150825,0.0150825,
1,0,0.0150843,0.0150843,
1,0.1,0.015084,0.015084,
1,0.2,0.0150838,0.0150838,
1,0.3,0.0150836,0.0150836,
1,0.4,0.0150834,0.0150834,
1,0.5,0.0150832,0.0150832,
1,0.6,0.015083,0.015083,
1,0.7,0.0150828,0.0150828,
1,0.8,0.0150826,0.0150826,
1,0.9,0.0150824,0.0150824,
1,1,0.0150822,0.0150822,
