mag
-0.304756,
-0.318536,
-0.318536,
-0.318536,
-0.313695,
-0.313695,
-0.313695,
-0.313695,
-0.306702,
-0.323961,
-0.323961,
-0.323961,
-0.310381,
-0.310381,
-0.305972,
-0.314467,
-0.314467,
-0.320461,
-0.320461,
-0.320945,
-0.334544,
-0.334544,
-0.334544,
-0.331279,
-0.331279,
-0.331279,
-0.331279,
-0.330309,
-0.323588,
-0.323588,
-0.323588,
-0.323588,
-0.323588,
-0.323588,
-0.335173,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.333949,
-0.332662,
-0.352146,
-0.352146,
-0.352146,
-0.352146,
-0.368646,
-0.38532,
-0.38532,
-0.38532,
-0.38532,
-0.395229,
-0.407894,
-0.407894,
-0.417892,
-0.417892,
-0.417892,
-0.417892,
-0.417892,
-0.417892,
-0.422859,
-0.422859,
-0.422859,
-0.422859,
-0.413899,
-0.413899,
-0.418481,
-0.409922,
-0.409922,
-0.404731,
-0.41258,
-0.413554,
-0.413554,
-0.422425,
-0.428264,
-0.439061,
-0.439061,
-0.439061,
-0.439061,
-0.439209,
-0.439209,
-0.422311,
-0.422311,
-0.422311,
-0.4299,
-0.4299,
-0.437395,
-0.437395,
-0.436417,
-0.453469,
-0.453469,
-0.461277,
-0.470443,
-0.470443,
-0.489365,
-0.489365,
-0.50247,
-0.50247,
-0.514797,
-0.540047,
-0.555042,
-0.555042,
-0.566738,
-0.566738,
-0.566738,
-0.571791,
-0.571791,
-0.566983,
-0.57891,
-0.592241,
-0.618463,
-0.627892,
-0.648954,
-0.650761,
-0.650761,
-0.650761,
-0.650381,
-0.650381,
-0.650381,
-0.664014,
-0.672118,
-0.697115,
-0.698592,
-0.714937,
-0.733187,
-0.733187,
-0.733209,
-0.733209,
-0.747059,
-0.761136,
-0.761136,
-0.759239,
-0.780205,
-0.780205,
-0.783615,
-0.799256,
-0.8092,
-0.8092,
-0.81443,
-0.81443,
-0.81443,
-0.813432,
-0.823191,
-0.823191,
-0.836728,
-0.847126,
-0.834763,
-0.834763,
-0.850904,
-0.868251,
-0.880195,
-0.898098,
-0.909101,
-0.922231,
-0.932224,
-0.932224,
-0.932224,
-0.932224,
-0.947727,
-0.947727,
-0.957228,
-0.958869,
-0.971306,
-0.984026,
-1.00643,
-1.01895,
-1.03338,
-1.0441,
-1.0441,
-1.05219,
-1.0724,
-1.0724,
-1.09211,
-1.09211,
-1.11298,
-1.11298,
-1.12744,
-1.14615,
-1.14615,
-1.14615,
-1.15128,
-1.16903,
-1.16903,
-1.16903,
-1.18549,
-1.20642,
-1.22731,
-1.24814,
-1.24814,
-1.26089,
-1.26742,
-1.2747,
-1.29269,
-1.31001,
-1.3379,
-1.3379,
-1.34122,
-1.353,
-1.353,
-1.353,
-1.37057,
-1.39426,
-1.39426,
-1.39426,
-1.42633,
-1.44778,
-1.46733,
-1.48507,
-1.50729,
-1.50729,
-1.50729,
-1.53029,
-1.56257,
-1.5887,
-1.59602,
-1.62218,
-1.63519,
-1.64668,
-1.64668,
-1.64668,
-1.66606,
-1.66606,
-1.66606,
-1.66606,
-1.66606,
-1.67219,
-1.70048,
-1.70048,
-1.70565,
-1.70565,
-1.73466,
-1.76797,
-1.78921,
-1.82571,
-1.84701,
-1.84701,
-1.85243,
-1.8832,
-1.8832,
-1.90344,
-1.90344,
-1.93513,
-1.94568,
-1.95222,
-1.95222,
-1.97504,
-2.00639,
-2.00639,
-2.00639,
-2.00639,
-2.04311,
-2.07812,
-2.11609,
-2.11609,
-2.13442,
-2.16113,
-2.18016,
-2.20799,
-2.20799,
-2.22601,
-2.22601,
-2.24478,
-2.24478,
-2.27203,
-2.30144,
-2.32185,
-2.35772,
-2.38564,
-2.38564,
-2.41266,
-2.43362,
-2.43362,
-2.46842,
-2.49509,
-2.5173,
-2.54501,
-2.54501,
-2.5812,
-2.61312,
-2.64067,
-2.66131,
-2.70288,
-2.70288,
-2.71665,
-2.71665,
-2.74196,
-2.74196,
-2.75675,
-2.79352,
-2.80926,
-2.83707,
-2.86237,
-2.88363,
-2.88363,
-2.91629,
-2.95176,
-2.95176,
-2.97344,
-3.00273,
-3.02479,
-3.07149,
-3.07149,
