avg_plaq
0.0761506,
0.070084,
0.0718609,
0.075563,
0.075563,
0.0746798,
0.0745978,
0.0794812,
0.0790242,
0.0790242,
0.0790242,
0.0768897,
0.0772784,
0.085208,
0.0850601,
0.0831598,
0.0831598,
0.0854407,
0.0815935,
0.0836958,
0.0796639,
0.0826164,
0.0855699,
0.0830409,
0.0830409,
0.0830409,
0.0832057,
0.0818275,
0.0818275,
0.0779551,
0.0779551,
0.0783307,
0.0760738,
0.0801275,
0.0801275,
0.0801275,
0.0769096,
0.0823734,
0.0823734,
0.0851142,
0.0844061,
0.0828884,
0.0756176,
0.0735395,
0.0696829,
0.0672645,
0.0691907,
0.0654015,
0.0654015,
0.0648253,
0.0648253,
0.0648253,
0.0621926,
0.0617413,
0.065488,
0.065488,
0.0625768,
0.0610724,
0.0595956,
0.0565352,
0.0565352,
0.0611622,
0.0623215,
0.0596173,
0.0497418,
0.0452267,
0.0441716,
0.0428509,
0.0393462,
0.0367624,
0.037696,
0.0397069,
0.0391403,
0.0405228,
0.0391121,
0.0365729,
0.0347777,
0.0339197,
0.0396878,
0.0396604,
0.0367042,
0.0363342,
0.0433128,
0.0414912,
0.0359412,
0.0327938,
0.0340953,
0.0333061,
0.0340817,
0.0354236,
0.0364416,
0.037688,
0.037622,
0.0419663,
0.0410001,
0.0340138,
0.0340138,
0.0387465,
0.0305505,
0.0347504,
0.0347504,
0.0413154,
0.0421796,
0.0408239,
0.0440083,
0.0440083,
0.0363659,
0.0316024,
0.0307235,
0.0365078,
0.0364767,
0.0370641,
0.028574,
0.0239658,
0.0239658,
0.0214921,
0.0227123,
0.02478,
0.02478,
0.0250845,
0.0250845,
0.0258646,
0.0233931,
0.0200653,
0.0187339,
0.023148,
0.018918,
0.018918,
0.0152189,
0.0123951,
0.0142553,
0.0160822,
0.0117961,
0.0132185,
0.0135869,
0.00946477,
0.00861044,
0.00701907,
0.0135379,
0.00941573,
0.0103609,
0.0127626,
0.00785259,
0.00813256,
0.00473293,
0.00473293,
0.00537794,
-0.000403422,
0.00372922,
0.0050188,
0.000743499,
0.000743499,
0.00292222,
0.00628352,
0.0033397,
0.0028135,
0.0028135,
-0.000601004,
0.00252066,
-0.000772468,
-0.00545314,
-0.00126585,
-0.00382828,
-0.00175111,
-0.00257107,
-0.00330283,
-0.00272438,
-0.00194435,
-0.00194435,
-0.00777432,
-0.01231,
-0.020197,
-0.0235496,
-0.0268479,
-0.0259984,
-0.0304774,
-0.0308168,
-0.0266673,
-0.0266673,
-0.0295642,
-0.0268981,
-0.022357,
-0.0283051,
-0.0283051,
-0.0305183,
-0.0358078,
-0.0387654,
-0.0391829,
-0.0352239,
-0.0418536,
-0.0462847,
-0.0474454,
-0.0468197,
-0.0468197,
-0.0511409,
-0.0511409,
-0.0538032,
-0.0538032,
-0.0580876,
-0.0581059,
-0.0581059,
-0.055305,
-0.0545288,
-0.0551284,
-0.050389,
-0.0512557,
-0.0533743,
-0.0535888,
-0.0553133,
-0.0542028,
-0.0549312,
-0.0554477,
-0.0569969,
-0.0592346,
-0.060356,
-0.0622288,
-0.0640247,
