mag
0.0155589,
0.0151981,
0.0139982,
0.0137192,
0.0127258,
0.0133578,
0.0132356,
0.0138707,
0.0139971,
0.0122337,
0.0132428,
0.0129878,
0.014199,
0.0156029,
0.0154869,
0.0154869,
0.0148224,
0.0151817,
0.0140198,
0.015209,
0.0145385,
0.0139426,
0.0144758,
0.0146695,
0.0145049,
0.0152354,
0.013433,
0.0124012,
0.0119392,
0.012651,
0.012651,
0.0127441,
0.0142457,
0.0135775,
0.013024,
0.013024,
0.0138524,
0.0127445,
0.0130994,
0.0139178,
0.0134321,
0.0132624,
0.0132624,
0.014235,
0.015184,
0.0136552,
0.0139039,
0.0130073,
0.0155824,
0.0152993,
0.0152993,
0.016753,
0.016753,
0.0172721,
0.0155442,
0.0157377,
0.0150097,
0.0162874,
0.0166349,
0.0153705,
0.0152051,
0.0162258,
0.0146931,
0.0146566,
0.0146566,
0.0146566,
0.0158761,
0.0155803,
0.017119,
0.016661,
0.0149781,
0.0136323,
0.0145067,
0.0132721,
0.0129337,
0.0129337,
0.0146616,
0.0153207,
0.0153207,
0.0150175,
0.0168401,
0.0151548,
0.0156121,
0.0136564,
0.0156827,
0.0142255,
0.0146508,
0.0147323,
0.0155297,
0.0149135,
0.0165751,
0.0166722,
0.0169608,
0.0174707,
0.018798,
0.0177309,
0.0173116,
0.0188586,
0.0193583,
0.0193583,
0.0186175,
0.0193866,
0.0199574,
0.0200051,
0.0187739,
0.0197647,
0.0193963,
0.0179817,
0.0179817,
0.0179817,
0.018124,
0.0188517,
0.0188517,
0.0188517,
0.0188517,
0.0200714,
0.0203656,
0.0184672,
0.0180862,
0.0190357,
0.0173323,
0.017081,
0.0168451,
0.0168451,
0.0176508,
0.0186333,
0.0185923,
0.0173665,
0.0166485,
0.016324,
0.0160623,
0.0174831,
0.0176834,
0.0197428,
0.0197428,
0.0200509,
0.0190205,
0.0203718,
0.0170113,
0.0180024,
0.0163446,
0.0150528,
0.0157374,
0.0158078,
0.016874,
0.0179525,
0.018829,
0.0195633,
0.0212321,
0.0210959,
0.0198938,
0.0194745,
0.0196914,
0.0205315,
0.0205315,
0.020245,
0.0199441,
0.0199441,
0.0171804,
0.0171804,
0.0159298,
0.0155035,
0.0169666,
0.0170302,
0.0166919,
0.0153136,
0.0148615,
0.0145961,
0.0144656,
0.0155766,
0.0142402,
0.0140887,
0.0153934,
0.0152406,
0.0148157,
0.0129535,
0.0129611,
0.012821,
0.0132733,
0.0136369,
0.0120865,
0.0120865,
0.0125883,
0.0123489,
0.0125342,
0.0118115,
0.0108221,
0.011781,
0.011781,
0.0110601,
0.0117496,
0.0117948,
0.0116136,
0.0116323,
0.00982807,
0.00885197,
0.00874476,
0.00855703,
0.00830119,
0.00834089,
0.00928294,
0.0083245,
0.00972523,
0.00972523,
0.0096642,
0.0096642,
0.00876404,
0.00837554,
0.00837554,
0.00850282,
0.0087081,
0.00790997,
0.00875387,
0.0078032,
0.00732458,
0.00814422,
0.00754652,
0.00743682,
0.00623117,
0.00631657,
0.00523854,
0.00523854,
0.00442875,
0.00442875,
0.00521928,
0.00588335,
0.00465052,
0.00525602,
0.00493128,
0.00420799,
0.00420799,
0.00423562,
0.00545978,
0.00610643,
0.00548876,
0.00548876,
0.00682462,
0.00645669,
0.0052316,
0.00505857,
0.00329284,
0.00476457,
0.00303583,
0.00250748,
0.00391295,
0.00368981,
0.00447308,
0.00410833,
0.00384336,
0.00189643,
0.00120149,
0.00121127,
0.00110854,
0.000680127,
0.00102345,
0.00039596,
0.00039596,
0.00282237,
0.0023843,
0.00163491,
0.00138691,
0.00150311,
0.00150311,
0.00283138,
0.00101296,
0.00101296,
0.00158688,
0.000625462,
-0.0020084,
-0.00119275,
-0.00119275,
-0.000921162,
-0.000631987,
-0.000772897,
-0.000772897,
-0.00116872,
-0.00076216,
-0.00119888,
-0.0013998,
7.30771e-05,
0.000172811,
-0.000641858,
-0.000354412,
-0.000634716,
-0.000680238,
8.16248e-05,
-0.00061726,
-0.000532343,
0.00209587,
0.0011213,
0.000694968,
-0.000447681,
0.000448168,
0.00157918,
-2.65487e-05,
-0.000761157,
-0.000730453,
-0.00133444,
-0.00270599,
-0.00478532,
-0.00617583,
-0.00347544,
-0.00347544,
-0.00404664,
-0.00404664,
